,Unnamed: 0,Unnamed: 0.1,city,city_id,timestamp,likes,geo,hashtags,user_id,lat,lng,mentions,tweet_url,replies,retweets,text,replay_to_users,screen_name
0,0,0.0,Miami,1840015149,2019-12-07 21:19:14,0,,[],1203423745618169857,25.7839,-80.2102,,https://twitter.com/xanny_danny_/status/1203423745618169857,0,0,idk man them videos from snap are a lil more satisfying – at Top Tier Skate Shop,StateFarm,xanny_danny_
1,1,1.0,Miami,1840015149,2019-12-03 14:30:37,1,,[],1201871361897123842,25.7839,-80.2102,,https://twitter.com/sergiyakun/status/1201871361897123842,0,0,Jake from State Farm,CzechLP,sergiyakun
2,2,2.0,Miami,1840015149,2019-11-20 18:15:39,3,,[],1197216954156830720,25.7839,-80.2102,@StateFarm,https://twitter.com/BranchesFL/status/1197216954156830720,0,1,Thank you @StateFarm !!! ,JoseSotoSF,BranchesFL
3,3,3.0,Miami,1840015149,2019-11-15 19:47:34,0,,[],1195428144452374528,25.7839,-80.2102,,https://twitter.com/CesarGo01186359/status/1195428144452374528,0,0,State Farm Insurance,,CesarGo01186359
4,4,4.0,Miami,1840015149,2019-11-15 16:49:43,2,,Florida Thanksgiving,1195383388066254848,25.7839,-80.2102,@StateFarm @JoseSotoSF,https://twitter.com/JoseSotoSF/status/1195383388066254848,0,1,Yes they are! Turning caring into doing! @StateFarm across #Florida are helping bring smiles to needy families with a food and clothing #Thanksgiving from Oct. 28 - Nov. 20. You can help by dropping your donations at participating agents. @JoseSotoSF for additional details,,JoseSotoSF
5,5,5.0,Miami,1840015149,2019-11-08 15:14:00,2,,[],1192822585853124610,25.7839,-80.2102,,https://twitter.com/Yiiizzle/status/1192822585853124610,0,0,And they crashed into a State Farm lmaoo ,dianaaaxa,Yiiizzle
6,6,6.0,Miami,1840015149,2019-10-29 21:49:33,1,,JWYT JUSTWIGGLEYOURTOES DRIVETOSAVELIVES,1189298250081341445,25.7839,-80.2102,@floridasadd @MyFDOT @MyFDOT_Safety @FLTeenSafeDrive @StateFarm @MiamiDadePD,https://twitter.com/WiggleYourToes/status/1189298250081341445,0,1,"Amazing start to @floridasadd @MyFDOT @MyFDOT_Safety @FLTeenSafeDrive @StateFarm @MiamiDadePD traffic safety speaking tour. Huge thanks to all the sponsors, students, staff, law enforcement &amp; Florida traffic safety stakeholders! #JWYT #JUSTWIGGLEYOURTOES #DRIVETOSAVELIVES – at Albion Hotel",,WiggleYourToes
7,7,7.0,Miami,1840015149,2019-10-01 03:18:21,0,,[],1178871745786400770,25.7839,-80.2102,,https://twitter.com/Caammm1/status/1178871745786400770,0,0,Oh My God! That’s really Cliff ,NoelThomas05,Caammm1
8,8,8.0,Miami,1840015149,2019-09-27 17:29:28,2,,[],1177636386708627456,25.7839,-80.2102,,https://twitter.com/jacob_perez007/status/1177636386708627456,0,2,Every time I call someone they assume I’m from State Farm... ,McJesse,jacob_perez007
9,9,9.0,Miami,1840015149,2019-09-24 15:08:41,0,,HireFIU,1176513791225237504,25.7839,-80.2102,@StateFarm,https://twitter.com/FIUCareer/status/1176513791225237504,0,0,Have you always wanted to work at a one of a kind company? Make sure to network with the StateFarm team and see your opportunities at table 63! #HireFIU @StateFarm ,,FIUCareer
10,10,10.0,Miami,1840015149,2019-09-06 03:22:12,0,,SPNFamiIy,1169813018873606144,25.7839,-80.2102,@DavidHaydnJones @ChicagoBears,https://twitter.com/moms2398/status/1169813018873606144,0,0,Loving how I keep seeing @DavidHaydnJones on State Farm commercials during the @ChicagoBears game...#SPNFamiIy,,moms2398
11,11,11.0,Miami,1840015149,2019-09-02 22:17:13,1,,[],1168649103385026565,25.7839,-80.2102,@StateFarm,https://twitter.com/EhhGuachin/status/1168649103385026565,0,1,Somebody burned down her she shed @StateFarm ,wsvn,EhhGuachin
12,12,12.0,Miami,1840015149,2019-08-29 21:47:56,1,,HereToHelp HurricaneDorian,1167192182559858690,25.7839,-80.2102,@StateFarm,https://twitter.com/JoseSotoSF/status/1167192182559858690,0,0,Now is the time to call your insurance company. @StateFarm agents #HereToHelp #HurricaneDorian,FLSERT,JoseSotoSF
13,13,13.0,Miami,1840015149,2019-08-24 23:49:27,0,,[],1165410822941749249,25.7839,-80.2102,,https://twitter.com/RollinJimmys/status/1165410822941749249,0,0,Is that Sherman (Shermenator) from American Pie in the State Farm commercial?,,RollinJimmys
14,14,14.0,Miami,1840015149,2019-08-14 13:16:27,0,,SFNeighborhoodAssist,1161627646150791168,25.7839,-80.2102,,https://twitter.com/markubler/status/1161627646150791168,0,0,"VOTE TODAY! With your help, Showering Love, Inc. could win a $25k grant from State Farm Neighborhood Assist®. Vote up to 10x a day through 8/23! #SFNeighborhoodAssist https://www.neighborhoodassist.com/entry/2023945",,markubler
15,15,15.0,Miami,1840015149,2019-07-26 00:21:23,1,,[],1154547223557890049,25.7839,-80.2102,,https://twitter.com/saltlifelopez/status/1154547223557890049,0,0,"on top of me waiting 2 hours for a two truck, the lady from statefarm referred to me as Mr. Lopez",,saltlifelopez
16,16,16.0,Miami,1840015149,2019-07-24 20:50:56,0,,[],1154131874882772992,25.7839,-80.2102,@StateFarm,https://twitter.com/CapitanWinky/status/1154131874882772992,0,0,Yup! I blame my @StateFarm drive safe and save for making me cause traffic. Down here in Miami its unsafe to drive the way a 5 star rating wants you to drive.,WPLGLocal10,CapitanWinky
17,17,17.0,Miami,1840015149,2019-07-12 02:48:46,0,,[],1149510883103522816,25.7839,-80.2102,,https://twitter.com/Jholmannnn/status/1149510883103522816,0,0,So.... no more CP3 x James Harden State Farm Commercials? It's a wrap? ,,Jholmannnn
18,18,18.0,Miami,1840015149,2019-06-21 23:18:13,0,,[],1142210142685093890,25.7839,-80.2102,@StateFarm,https://twitter.com/Joker_Gur_Aryeh/status/1142210142685093890,1,0,"Boy you, John Harbaugh and Jake from @StateFarm are going to be the only ones wearing Khakis when their fairy dust runs out!",TalentEvaluator,Joker_Gur_Aryeh
19,19,19.0,Miami,1840015149,2019-06-20 21:57:06,0,,[],1141827337622884352,25.7839,-80.2102,,https://twitter.com/Parkay2910/status/1141827337622884352,0,0,Or Ruffles or State Farm or an actual sneaker contract...,Huffer_24,Parkay2910
20,20,20.0,Miami,1840015149,2019-06-01 15:14:17,5,,Miami WashingtonDC Latino,1134840597464920065,25.7839,-80.2102,@StateFarm @jdiazinsurance @CHCI,https://twitter.com/JoseSotoSF/status/1134840597464920065,1,0,"Educate, Empower, and Connect! @StateFarm @jdiazinsurance proud to motivate and inspire @CHCI R2L NextGen students and their parents. #Miami regional send-off to #WashingtonDC visits with #Latino Congressional leaders.",,JoseSotoSF
21,21,21.0,Miami,1840015149,2019-05-26 13:25:39,0,,[],1132638932359897089,25.7839,-80.2102,,https://twitter.com/EdmundWilliamC2/status/1132638932359897089,0,0,TrueQueeNorwalk CastleRockHillNorway Dr alcie p wright State farm insurance company true Heir sonSirGarrettKentonFitzgerald EdmundWilliamCallahan special agent fed gov judgeDralciepwright communityall bestowed uponLand developmentIndustriesSyndicate Empiresfoundations Enterprises ,EdmundWilliamC2,EdmundWilliamC2
22,22,22.0,Miami,1840015149,2019-05-24 23:36:19,1,,[],1132067835646218241,25.7839,-80.2102,,https://twitter.com/alehandraa_29/status/1132067835646218241,0,0,New Puerto Rican friends: “you’re in good hands like State Farm” ,,alehandraa_29
23,23,23.0,Miami,1840015149,2019-05-17 15:46:09,3,,[],1129412798990245888,25.7839,-80.2102,@InsNewsNet,https://twitter.com/JoseSotoSF/status/1129412798990245888,0,2,State Farm Florida Cuts Home Insurance Rates - InsuranceNewsNet http://bit.ly/2LPC8k0 via @insnewsnet,,JoseSotoSF
24,24,24.0,Miami,1840015149,2019-05-03 14:52:23,0,,[],1124325839259164672,25.7839,-80.2102,,https://twitter.com/ZeFaMaj/status/1124325839259164672,0,0,I thought you were going to say Jake from State Farm and I would have busted out laughing irl. Jake is best chef,KIMMYKIMMYXD,ZeFaMaj
25,25,25.0,Miami,1840015149,2019-04-23 03:13:11,0,,[],1120526000071352320,25.7839,-80.2102,,https://twitter.com/lowkeyseanjr/status/1120526000071352320,1,0,the State Farm commercial with him burning the microwave made me think that ,cassiusalli,lowkeyseanjr
26,26,26.0,Miami,1840015149,2019-04-19 16:11:19,0,,[],1119272271460347904,25.7839,-80.2102,,https://twitter.com/iHateBandy/status/1119272271460347904,0,0,State Farm,PatBigbe,iHateBandy
27,27,27.0,Miami,1840015149,2019-03-20 13:04:23,2,,[],1108353593013346304,25.7839,-80.2102,@StateFarm @JackEtienne @Cloud9,https://twitter.com/davidhigdon/status/1108353593013346304,0,1,Great insight from our partner Ed Gold at @StateFarm and a end-of-segment shout out to our friend @JackEtienne and his amazing @Cloud9 whose brand recognition continues to grow!,getDeestweets,davidhigdon
28,28,28.0,Miami,1840015149,2019-03-18 06:05:46,0,,[],1107523470563270656,25.7839,-80.2102,,https://twitter.com/brebre196/status/1107523470563270656,0,0,I’m just here with Jake from State Farm. Ookkkkkuuurrrrrttttt – at The Confidante,,brebre196
